"ano"	"volume"	"tomo"	"url"
"1979"	"089"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=089_2"
"1979"	"089"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=089_3"
"1979"	"090"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=090_1"
"1979"	"090"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=090_2"
"1979"	"090"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=090_3"
"1980"	"091"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=091_1"
"1980"	"091"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=091_2"
"1980"	"091"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=091_3"
"1980"	"092"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=092_1"
"1980"	"092"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=092_2"
"1980"	"092"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=092_3"
"1980"	"093"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=093_1"
"1980"	"093"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=093_2"
"1980"	"093"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=093_3"
"1980"	"094"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=094_1"
"1980"	"094"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=094_2"
"1980"	"094"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=094_3"
"1981"	"095"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=095_1"
"1981"	"095"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=095_2"
"1981"	"095"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=095_3"
"1981"	"096"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=096_1"
"1981"	"096"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=096_2"
"1981"	"096"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=096_3"
"1981"	"097"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=097_1"
"1981"	"097"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=097_2"
"1981"	"097"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=097_3"
"1981"	"098"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=098_1"
"1981"	"098"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=098_2"
"1981"	"098"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=098_3"
"1982"	"099"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=099_1"
"1982"	"099"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=099_2"
"1982"	"099"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=099_3"
"1982"	"100"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=100_1"
"1982"	"100"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=100_2"
"1982"	"100"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=100_3"
"1982"	"101"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=101_1"
"1982"	"101"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=101_2"
"1982"	"101"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=101_3"
"1982"	"102"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=102_1"
"1982"	"102"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=102_2"
"1982"	"102"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=102_3"
"1983"	"103"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=103_1"
"1983"	"103"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=103_2"
"1983"	"103"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=103_3"
"1983"	"104"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=104_1"
"1983"	"104"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=104_2"
"1983"	"104"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=104_3"
"1983"	"105"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=105_1"
"1983"	"105"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=105_2"
"1983"	"105"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=105_3"
"1983"	"106"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=106_1"
"1983"	"106"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=106_2"
"1983"	"106"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=106_3"
"1984"	"107"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=107_1"
"1984"	"107"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=107_2"
"1984"	"107"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=107_3"
"1984"	"108"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=108_1"
"1984"	"108"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=108_2"
"1984"	"108"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=108_3"
"1984"	"109"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=109_1"
"1984"	"109"	"2"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=109_2"
"1984"	"109"	"3"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=109_3"
"1984"	"110"	"1"	"https://portal.stf.jus.br/indiceRtj/verPDF.asp?numPDF=110_1"
